country_code,year,avg_income
AUS,2000,45864.22
AUS,2020,56454.64
AUS,2019,55170.16
AUS,2018,54585.74
AUS,2017,54446.19
AUS,2016,54708.55
AUS,2014,54959.0
AUS,2013,54493.43
AUS,2012,54693.53
AUS,2011,54341.63
AUS,2015,54594.29
AUS,2009,50884.31
AUS,2010,52645.06
AUS,2002,46714.71
AUS,2003,47349.66
AUS,2004,48813.63
AUS,2001,46325.65
AUS,2006,49688.97
AUS,2007,51049.14
AUS,2008,51375.74
AUS,2005,49357.81
BEL,2012,57740.9
BEL,2020,57271.72
BEL,2019,58841.92
BEL,2018,58270.11
BEL,2017,57956.77
BEL,2016,58364.72
BEL,2015,58239.59
BEL,2014,58637.19
BEL,2013,58312.81
BEL,2011,57277.86
BEL,2004,56195.68
BEL,2009,56960.73
BEL,2010,56697.01
BEL,2001,54743.96
BEL,2002,56157.24
BEL,2003,56492.0
BEL,2000,54577.63
BEL,2005,55662.22
BEL,2006,56040.35
BEL,2007,55936.38
BEL,2008,56177.76
CAN,2019,54606.7
CAN,2018,54325.09
CAN,2017,53353.37
CAN,2016,52599.45
CAN,2015,53558.15
CAN,2014,53142.88
CAN,2013,52502.73
CAN,2012,51861.26
CAN,2011,51075.23
CAN,2010,50581.89
CAN,2020,56176.84
CAN,2008,49993.02
CAN,2000,44600.05
CAN,2001,44416.81
CAN,2002,44046.76
CAN,2003,44065.77
CAN,2009,50434.25
CAN,2005,46335.09
CAN,2006,47753.66
CAN,2007,49148.17
CAN,2004,45034.62
CZE,2011,25010.46
CZE,2020,30912.16
CZE,2019,31236.45
CZE,2018,29990.7
CZE,2017,28482.13
CZE,2016,27097.17
CZE,2015,26172.86
CZE,2013,24900.05
CZE,2012,25056.26
CZE,2010,24808.31
CZE,2014,25425.17
CZE,2008,24165.35
CZE,2009,24068.58
CZE,2000,17381.06
CZE,2002,19382.81
CZE,2003,20860.72
CZE,2001,18277.44
CZE,2005,22440.75
CZE,2006,23340.2
CZE,2007,24036.77
CZE,2004,21799.92
DEU,2001,47978.29
DEU,2007,48432.54
DEU,2002,48260.95
DEU,2003,48420.9
DEU,2004,48414.66
DEU,2005,48589.67
DEU,2006,48580.36
DEU,2008,48649.57
DEU,2017,54663.86
DEU,2010,49085.44
DEU,2011,50075.89
DEU,2012,50743.6
DEU,2013,51221.47
DEU,2014,52080.36
DEU,2015,53277.93
DEU,2016,54093.91
DEU,2000,47630.94
DEU,2009,48659.33
DEU,2020,55920.67
DEU,2019,56332.16
DEU,2018,55442.56
ESP,2000,38940.03
ESP,2018,39794.11
ESP,2017,39927.38
ESP,2016,40455.0
ESP,2015,40684.38
ESP,2013,40208.39
ESP,2012,40205.23
ESP,2011,41363.49
ESP,2019,39877.22
ESP,2010,42115.83
ESP,2008,40000.42
ESP,2007,38635.07
ESP,2006,38221.01
ESP,2005,38404.39
ESP,2004,38239.5
ESP,2003,38732.45
ESP,2002,38930.42
ESP,2001,38736.25
ESP,2009,42517.92
ESP,2014,40084.86
ESP,2020,38425.87
EST,2005,18097.76
EST,2000,13049.7
EST,2001,13530.28
EST,2002,14304.08
EST,2003,15653.53
EST,2004,16959.68
EST,2006,19710.92
EST,2007,22920.13
EST,2008,23220.8
EST,2009,22558.87
EST,2020,32017.25
EST,2011,21952.74
EST,2012,22220.61
EST,2013,22759.12
EST,2014,23958.74
EST,2015,25084.6
EST,2016,26453.47
EST,2017,27059.39
EST,2018,28533.39
EST,2010,22426.3
EST,2019,30212.81
FRA,2012,46602.65
FRA,2013,46995.22
FRA,2014,47318.53
FRA,2015,47769.98
FRA,2019,49402.52
FRA,2017,48993.05
FRA,2018,48930.5
FRA,2011,46302.82
FRA,2016,48322.48
FRA,2010,46386.11
FRA,2020,47372.81
FRA,2008,44066.19
FRA,2007,44150.87
FRA,2006,43989.84
FRA,2005,43504.13
FRA,2004,42986.24
FRA,2003,42296.65
FRA,2002,41954.13
FRA,2001,40852.18
FRA,2000,40596.64
FRA,2009,45468.23
GRC,2007,33198.83
GRC,2006,33192.7
GRC,2005,32802.53
GRC,2001,28375.87
GRC,2003,32319.68
GRC,2002,30956.1
GRC,2008,32685.05
GRC,2004,32912.4
GRC,2009,34228.22
GRC,2014,26818.61
GRC,2011,30592.63
GRC,2012,28812.36
GRC,2013,26929.47
GRC,2015,27082.07
GRC,2016,26460.68
GRC,2017,26629.77
GRC,2018,25400.47
GRC,2019,25629.61
GRC,2020,25719.51
GRC,2010,32664.86
GRC,2000,27453.12
HUN,2020,25274.64
HUN,2009,21704.95
HUN,2001,17713.95
HUN,2002,18599.34
HUN,2003,20088.33
HUN,2004,21490.67
HUN,2005,22438.36
HUN,2006,22874.7
HUN,2007,22705.06
HUN,2008,23021.3
HUN,2018,24056.03
HUN,2010,21991.45
HUN,2011,22275.5
HUN,2012,21533.8
HUN,2013,21310.78
HUN,2014,21030.7
HUN,2015,21193.7
HUN,2000,16462.6
HUN,2019,24852.7
HUN,2017,22932.88
HUN,2016,21385.99
IRL,2019,50447.96
IRL,2016,48576.19
IRL,2015,47926.24
IRL,2014,47981.41
IRL,2013,48266.2
IRL,2012,49401.38
IRL,2011,49757.52
IRL,2010,50349.62
IRL,2009,50191.08
IRL,2007,44660.93
IRL,2006,43408.38
IRL,2005,43042.79
IRL,2004,41499.86
IRL,2003,40141.83
IRL,2002,38968.04
IRL,2001,38575.89
IRL,2008,46416.53
IRL,2020,50751.39
IRL,2000,37155.24
IRL,2018,49552.99
IRL,2017,49194.67
ISR,2018,39142.83
ISR,2017,38066.62
ISR,2016,36928.62
ISR,2015,35546.07
ISR,2014,34521.1
ISR,2013,34272.53
ISR,2012,34140.0
ISR,2011,33570.39
ISR,2000,36017.71
ISR,2008,34129.29
ISR,2007,34879.13
ISR,2006,34541.37
ISR,2005,33597.74
ISR,2004,33488.57
ISR,2003,33974.99
ISR,2002,35176.96
ISR,2001,36541.69
ISR,2009,33299.44
ISR,2010,33256.38
ISR,2020,40047.24
ISR,2019,39960.06
JPN,2020,38850.02
JPN,2002,37652.11
JPN,2003,37684.43
JPN,2004,38313.83
JPN,2005,39299.41
JPN,2006,39276.01
JPN,2007,39170.83
JPN,2008,38855.89
JPN,2009,38299.66
JPN,2000,38823.46
JPN,2010,38420.99
JPN,2012,38387.62
JPN,2013,38417.84
JPN,2014,37726.0
JPN,2015,37542.47
JPN,2016,38056.04
JPN,2017,38150.93
JPN,2018,38583.62
JPN,2019,39077.02
JPN,2011,39037.3
JPN,2001,38428.17
KOR,2020,43341.63
KOR,2019,43199.52
KOR,2017,40374.01
KOR,2016,39446.52
KOR,2015,38323.15
KOR,2014,37286.95
KOR,2018,41765.23
KOR,2012,36293.25
KOR,2011,36834.51
KOR,2010,36357.65
KOR,2009,35795.44
KOR,2013,37209.09
KOR,2007,35717.37
KOR,2006,34961.14
KOR,2005,34516.5
KOR,2004,33483.63
KOR,2003,32744.81
KOR,2002,31577.95
KOR,2001,30528.14
KOR,2000,29505.49
KOR,2008,35610.87
LTU,2012,25996.25
LTU,2013,26980.85
LTU,2014,28207.89
LTU,2019,37305.14
LTU,2016,31601.14
LTU,2017,33424.61
LTU,2018,34952.31
LTU,2015,30054.92
LTU,2010,25057.92
LTU,2011,25569.16
LTU,2008,28747.09
LTU,2007,28231.05
LTU,2006,26503.58
LTU,2005,23143.55
LTU,2004,20950.03
LTU,2003,18879.71
LTU,2002,17041.91
LTU,2020,39610.6
LTU,2000,15121.81
LTU,2009,24963.18
LTU,2001,15964.52
LVA,2001,12361.76
LVA,2020,29812.73
LVA,2002,11984.21
LVA,2003,12841.41
LVA,2004,13960.06
LVA,2005,16237.12
LVA,2006,17903.73
LVA,2007,22073.07
LVA,2008,22775.26
LVA,2009,20566.95
LVA,2011,19086.24
LVA,2012,19860.53
LVA,2013,20810.65
LVA,2014,22206.5
LVA,2015,24062.13
LVA,2016,25473.33
LVA,2017,26386.66
LVA,2018,27357.28
LVA,2019,28547.46
LVA,2000,11971.52
LVA,2010,19772.41
MEX,2017,17474.52
MEX,2008,18655.0
MEX,2006,18745.11
MEX,2009,18805.4
MEX,2005,18776.98
MEX,2003,18560.62
MEX,2002,18240.43
MEX,2001,18312.25
MEX,2000,17309.72
MEX,2020,17456.95
MEX,2019,18033.3
MEX,2004,18649.15
MEX,2007,18816.97
MEX,2010,17617.49
MEX,2016,17520.79
MEX,2015,17729.45
MEX,2014,17502.07
MEX,2013,17468.82
MEX,2012,17456.35
MEX,2011,17775.69
MEX,2018,17864.35
NLD,2018,60514.98
NLD,2017,61186.41
NLD,2016,61630.71
NLD,2015,61383.22
NLD,2014,60646.03
NLD,2013,60971.77
NLD,2012,60792.5
NLD,2008,58461.63
NLD,2010,60860.97
NLD,2009,60919.76
NLD,2007,58109.11
NLD,2006,57310.31
NLD,2019,60140.06
NLD,2005,57435.3
NLD,2004,57435.59
NLD,2011,60589.22
NLD,2020,61560.27
NLD,2002,56149.88
NLD,2000,55157.81
NLD,2001,55976.25
NLD,2003,56546.11
NZL,2000,32801.98
NZL,2018,43898.38
NZL,2017,42827.88
NZL,2016,42535.43
NZL,2015,41195.37
NZL,2014,40465.81
NZL,2013,40307.75
NZL,2012,40855.48
NZL,2011,39991.68
NZL,2010,40022.28
NZL,2008,39110.49
NZL,2007,39569.53
NZL,2006,37385.45
NZL,2005,37157.64
NZL,2004,36539.61
NZL,2003,35303.28
NZL,2002,34041.52
NZL,2001,33423.89
NZL,2009,39588.21
NZL,2020,46125.77
NZL,2019,45233.46
POL,2000,21858.73
POL,2001,23107.57
POL,2020,33330.32
POL,2019,32695.43
POL,2018,31213.41
POL,2017,29236.48
POL,2016,28050.69
POL,2015,26709.77
POL,2014,26025.53
POL,2013,25486.25
POL,2010,25511.56
POL,2011,25480.73
POL,2012,25217.82
POL,2003,23290.7
POL,2004,22773.8
POL,2005,22731.08
POL,2002,23012.43
POL,2007,23615.64
POL,2008,24874.98
POL,2009,24810.94
POL,2006,22880.07
PRT,2020,29093.13
PRT,2013,27840.2
PRT,2019,28790.37
PRT,2018,27695.95
PRT,2017,27244.36
PRT,2016,27134.71
PRT,2015,27277.83
PRT,2014,27360.52
PRT,2012,27321.43
PRT,2007,28174.96
PRT,2010,29260.3
PRT,2009,29378.43
PRT,2008,28080.94
PRT,2006,27988.29
PRT,2005,28609.2
PRT,2004,28766.45
PRT,2003,28728.32
PRT,2002,28794.65
PRT,2000,28691.85
PRT,2011,28548.02
PRT,2001,28807.07
SVN,2018,40664.41
SVN,2019,41860.16
SVN,2000,29550.03
SVN,2020,43309.72
SVN,2002,30840.95
SVN,2003,31480.8
SVN,2004,33001.49
SVN,2005,34258.78
SVN,2007,36190.32
SVN,2008,36740.53
SVN,2001,30758.01
SVN,2010,38123.3
SVN,2009,37051.67
SVN,2017,39962.2
SVN,2016,39241.77
SVN,2015,37779.4
SVN,2006,35399.41
SVN,2013,36279.1
SVN,2012,36882.53
SVN,2011,38007.48
SVN,2014,36999.88
TUR,2018,30610.72
TUR,2017,30076.38
TUR,2016,30653.26
TUR,2015,27308.1
TUR,2014,26631.2
TUR,2012,24617.58
TUR,2011,23666.75
TUR,2010,23291.59
TUR,2008,22467.88
TUR,2007,22590.98
TUR,2006,21839.96
TUR,2013,25748.98
TUR,2009,22722.97
TUR,2020,32482.67
TUR,2019,32625.05
USA,2000,57498.9
USA,2002,58405.48
USA,2003,59033.84
USA,2004,60127.4
USA,2005,60184.22
USA,2006,61084.89
USA,2007,62241.95
USA,2008,62088.5
USA,2009,62711.31
USA,2010,63264.81
USA,2011,63349.43
USA,2013,63587.77
USA,2014,64513.44
USA,2015,66139.51
USA,2016,66259.72
USA,2017,66933.97
USA,2018,67663.84
USA,2019,68842.31
USA,2020,72806.75
USA,2012,63890.23
USA,2001,57939.66
